날짜,홈 팀,원정 팀,홈 팀 득점,원정 팀 득점,경기 결과,홈 승 배당률,무승부 배당률,원정 승 배당률
2022/08/05,크리스탈 팰리스 FC,아스날 FC,0,2,A,4.2,3.6,1.85
2022/08/06,풀럼 FC,리버풀 FC,2,2,D,11.0,6.0,1.25
2022/08/06,AFC 본머스,애스턴 빌라 FC,2,0,H,3.75,3.5,2.0
2022/08/06,Leeds,울버햄튼 원더러스 FC,2,1,H,2.25,3.4,3.2
2022/08/06,뉴캐슬 유나이티드 FC,노팅엄 포레스트 FC,2,0,H,1.66,3.8,5.25
2022/08/06,토트넘 홋스퍼 FC,사우샘프턴 FC,4,1,H,1.33,5.5,8.5
2022/08/06,에버튼 FC,첼시 FC,0,1,A,5.5,4.0,1.61
2022/08/07,Leicester,브렌트포드 FC,2,2,D,2.0,3.75,3.5
2022/08/07,맨체스터 유나이티드 FC,브라이튼 & 호브 알비언 FC,1,2,A,1.6,4.2,5.25
2022/08/07,웨스트햄 유나이티드 FC,맨체스터 시티 FC,0,2,A,8.0,5.0,1.36
2022/08/13,애스턴 빌라 FC,에버튼 FC,2,1,H,1.8,3.5,4.75
2022/08/13,아스날 FC,Leicester,4,2,H,1.53,4.33,5.75
2022/08/13,브라이튼 & 호브 알비언 FC,뉴캐슬 유나이티드 FC,0,0,D,2.45,3.2,3.0
2022/08/13,맨체스터 시티 FC,AFC 본머스,4,0,H,1.06,13.0,29.0
2022/08/13,사우샘프턴 FC,Leeds,2,2,D,2.25,3.5,3.1
2022/08/13,울버햄튼 원더러스 FC,풀럼 FC,0,0,D,2.3,3.3,3.2
2022/08/13,브렌트포드 FC,맨체스터 유나이티드 FC,4,0,H,3.75,3.5,2.0
2022/08/14,노팅엄 포레스트 FC,웨스트햄 유나이티드 FC,1,0,H,4.2,3.6,1.85
2022/08/14,첼시 FC,토트넘 홋스퍼 FC,2,2,D,2.25,3.4,3.2
2022/08/15,리버풀 FC,크리스탈 팰리스 FC,1,1,D,1.18,6.75,16.0
2022/08/20,토트넘 홋스퍼 FC,울버햄튼 원더러스 FC,1,0,H,1.4,4.75,7.5
2022/08/20,크리스탈 팰리스 FC,애스턴 빌라 FC,3,1,H,2.5,3.25,2.9
2022/08/20,에버튼 FC,노팅엄 포레스트 FC,1,1,D,1.9,3.6,4.0
2022/08/20,풀럼 FC,브렌트포드 FC,3,2,H,2.45,3.4,2.9
2022/08/20,Leicester,사우샘프턴 FC,1,2,A,1.83,4.0,4.0
2022/08/20,AFC 본머스,아스날 FC,0,3,A,8.0,4.75,1.4
2022/08/21,Leeds,첼시 FC,3,0,H,5.75,4.5,1.53
2022/08/21,웨스트햄 유나이티드 FC,브라이튼 & 호브 알비언 FC,0,2,A,2.3,3.4,3.1
2022/08/21,뉴캐슬 유나이티드 FC,맨체스터 시티 FC,3,3,D,7.5,5.0,1.36
2022/08/22,맨체스터 유나이티드 FC,리버풀 FC,2,1,H,5.25,4.33,1.6
2022/08/27,사우샘프턴 FC,맨체스터 유나이티드 FC,0,1,A,4.2,4.0,1.8
2022/08/27,브렌트포드 FC,에버튼 FC,1,1,D,2.0,3.5,3.75
2022/08/27,브라이튼 & 호브 알비언 FC,Leeds,1,0,H,1.9,3.8,3.8
2022/08/27,첼시 FC,Leicester,2,1,H,1.4,5.0,7.0
2022/08/27,리버풀 FC,AFC 본머스,9,0,H,1.1,10.0,26.0
2022/08/27,맨체스터 시티 FC,크리스탈 팰리스 FC,4,2,H,1.18,7.5,13.0
2022/08/27,아스날 FC,풀럼 FC,2,1,H,1.3,5.75,9.0
2022/08/28,애스턴 빌라 FC,웨스트햄 유나이티드 FC,0,1,A,2.3,3.4,3.1
2022/08/28,울버햄튼 원더러스 FC,뉴캐슬 유나이티드 FC,1,1,D,2.7,3.3,2.7
2022/08/28,노팅엄 포레스트 FC,토트넘 홋스퍼 FC,0,2,A,7.0,4.6,1.44
2022/08/30,크리스탈 팰리스 FC,브렌트포드 FC,1,1,D,2.05,3.4,3.6
2022/08/30,풀럼 FC,브라이튼 & 호브 알비언 FC,2,1,H,3.1,3.3,2.3
2022/08/30,사우샘프턴 FC,첼시 FC,2,1,H,5.25,4.0,1.61
2022/08/30,Leeds,에버튼 FC,1,1,D,2.15,3.5,3.3
2022/08/31,아스날 FC,애스턴 빌라 FC,2,1,H,1.45,4.5,6.0
2022/08/31,AFC 본머스,울버햄튼 원더러스 FC,0,0,D,3.5,3.3,2.15
2022/08/31,맨체스터 시티 FC,노팅엄 포레스트 FC,6,0,H,1.06,13.0,29.0
2022/08/31,웨스트햄 유나이티드 FC,토트넘 홋스퍼 FC,1,1,D,3.6,3.8,1.95
2022/08/31,리버풀 FC,뉴캐슬 유나이티드 FC,2,1,H,1.33,5.25,9.0
2022/09/01,Leicester,맨체스터 유나이티드 FC,0,1,A,3.4,3.75,2.05
2022/09/03,에버튼 FC,리버풀 FC,0,0,D,7.0,4.75,1.4
