날짜,홈 팀,원정 팀,홈 팀 득점,원정 팀 득점,경기 결과,홈 승 배당률,무승부 배당률,원정 승 배당률
2023/08/11,번리 FC,맨체스터 시티 FC,0,3,A,8.0,5.5,1.33
2023/08/12,아스날 FC,노팅엄 포레스트 FC,2,1,H,1.18,7.0,15.0
2023/08/12,AFC 본머스,웨스트햄 유나이티드 FC,1,1,D,2.7,3.4,2.55
2023/08/12,브라이튼 & 호브 알비언 FC,루턴 타운 FC,4,1,H,1.33,5.5,9.0
2023/08/12,에버튼 FC,풀럼 FC,0,1,A,2.2,3.4,3.3
2023/08/12,셰필드 유나이티드 FC,크리스탈 팰리스 FC,0,1,A,3.0,3.3,2.38
2023/08/12,뉴캐슬 유나이티드 FC,애스턴 빌라 FC,5,1,H,1.75,3.75,4.6
2023/08/13,브렌트포드 FC,토트넘 홋스퍼 FC,2,2,D,2.75,3.4,2.45
2023/08/13,첼시 FC,리버풀 FC,1,1,D,2.9,3.4,2.38
2023/08/14,맨체스터 유나이티드 FC,울버햄튼 원더러스 FC,1,0,H,1.33,5.5,9.0
2023/08/18,노팅엄 포레스트 FC,셰필드 유나이티드 FC,2,1,H,1.95,3.4,4.0
2023/08/19,풀럼 FC,브렌트포드 FC,0,3,A,2.7,3.3,2.63
2023/08/19,리버풀 FC,AFC 본머스,3,1,H,1.2,7.0,13.0
2023/08/19,울버햄튼 원더러스 FC,브라이튼 & 호브 알비언 FC,1,4,A,4.0,3.8,1.85
2023/08/19,토트넘 홋스퍼 FC,맨체스터 유나이티드 FC,2,0,H,2.8,3.6,2.38
2023/08/19,맨체스터 시티 FC,뉴캐슬 유나이티드 FC,1,0,H,1.67,4.0,5.0
2023/08/20,애스턴 빌라 FC,에버튼 FC,4,0,H,1.7,4.0,4.5
2023/08/20,웨스트햄 유나이티드 FC,첼시 FC,3,1,H,3.75,3.5,2.0
2023/08/21,크리스탈 팰리스 FC,아스날 FC,0,1,A,5.5,4.0,1.6
2023/08/25,첼시 FC,루턴 타운 FC,3,0,H,1.29,5.5,11.0
2023/08/26,AFC 본머스,토트넘 홋스퍼 FC,0,2,A,3.8,3.75,1.91
2023/08/26,아스날 FC,풀럼 FC,2,2,D,1.2,7.0,13.0
2023/08/26,브렌트포드 FC,크리스탈 팰리스 FC,1,1,D,2.15,3.4,3.5
2023/08/26,에버튼 FC,울버햄튼 원더러스 FC,0,1,A,2.3,3.3,3.2
2023/08/26,맨체스터 유나이티드 FC,노팅엄 포레스트 FC,3,2,H,1.3,6.0,8.0
2023/08/26,브라이튼 & 호브 알비언 FC,웨스트햄 유나이티드 FC,1,3,A,1.53,4.75,5.25
2023/08/27,번리 FC,애스턴 빌라 FC,1,3,A,3.4,3.4,2.15
2023/08/27,셰필드 유나이티드 FC,맨체스터 시티 FC,1,2,A,13.0,8.0,1.17
2023/08/27,뉴캐슬 유나이티드 FC,리버풀 FC,1,2,A,2.2,3.75,3.0
2023/09/01,루턴 타운 FC,웨스트햄 유나이티드 FC,1,2,A,4.75,3.8,1.73
2023/09/02,셰필드 유나이티드 FC,에버튼 FC,2,2,D,2.9,3.25,2.5
2023/09/02,브렌트포드 FC,AFC 본머스,2,2,D,1.73,3.8,4.75
2023/09/02,번리 FC,토트넘 홋스퍼 FC,2,5,A,3.6,4.0,1.85
2023/09/02,첼시 FC,노팅엄 포레스트 FC,0,1,A,1.4,4.5,8.5
2023/09/02,맨체스터 시티 FC,풀럼 FC,5,1,H,1.17,8.0,15.0
2023/09/02,브라이튼 & 호브 알비언 FC,뉴캐슬 유나이티드 FC,3,1,H,2.5,3.8,2.55
2023/09/03,크리스탈 팰리스 FC,울버햄튼 원더러스 FC,3,2,H,1.91,3.3,4.33
2023/09/03,리버풀 FC,애스턴 빌라 FC,3,0,H,1.65,4.5,4.5
2023/09/03,아스날 FC,맨체스터 유나이티드 FC,3,1,H,1.75,3.8,4.5
2023/09/16,울버햄튼 원더러스 FC,리버풀 FC,1,3,A,6.0,5.0,1.45
2023/09/16,애스턴 빌라 FC,크리스탈 팰리스 FC,3,1,H,1.91,3.6,4.0
2023/09/16,풀럼 FC,루턴 타운 FC,1,0,H,1.67,3.75,5.5
2023/09/16,맨체스터 유나이티드 FC,브라이튼 & 호브 알비언 FC,1,3,A,2.15,4.0,2.88
2023/09/16,토트넘 홋스퍼 FC,셰필드 유나이티드 FC,2,1,H,1.29,5.5,11.0
2023/09/16,웨스트햄 유나이티드 FC,맨체스터 시티 FC,1,3,A,7.0,4.5,1.45
2023/09/16,뉴캐슬 유나이티드 FC,브렌트포드 FC,1,0,H,1.53,4.2,6.0
2023/09/17,AFC 본머스,첼시 FC,0,0,D,4.33,3.75,1.8
2023/09/17,에버튼 FC,아스날 FC,0,1,A,6.0,4.5,1.5
2023/09/18,노팅엄 포레스트 FC,번리 FC,1,1,D,2.2,3.5,3.25
2023/09/23,크리스탈 팰리스 FC,풀럼 FC,0,0,D,1.91,3.4,4.2
2023/09/23,루턴 타운 FC,울버햄튼 원더러스 FC,1,1,D,3.25,3.4,2.2
2023/09/23,맨체스터 시티 FC,노팅엄 포레스트 FC,2,0,H,1.14,8.5,15.0
2023/09/23,브렌트포드 FC,에버튼 FC,1,3,A,1.8,3.8,4.2
2023/09/23,번리 FC,맨체스터 유나이티드 FC,0,1,A,4.2,4.2,1.73
2023/09/24,아스날 FC,토트넘 홋스퍼 FC,2,2,D,1.67,4.33,4.33
2023/09/24,브라이튼 & 호브 알비언 FC,AFC 본머스,3,1,H,1.36,5.25,7.5
2023/09/24,첼시 FC,애스턴 빌라 FC,0,1,A,1.91,3.75,3.8
2023/09/24,리버풀 FC,웨스트햄 유나이티드 FC,3,1,H,1.4,5.0,7.0
2023/09/24,셰필드 유나이티드 FC,뉴캐슬 유나이티드 FC,0,8,A,7.0,4.75,1.44
2023/09/30,애스턴 빌라 FC,브라이튼 & 호브 알비언 FC,6,1,H,2.55,3.75,2.55
2023/09/30,AFC 본머스,아스날 FC,0,4,A,5.5,4.5,1.53
2023/09/30,에버튼 FC,루턴 타운 FC,1,2,A,1.57,3.8,6.5
2023/09/30,맨체스터 유나이티드 FC,크리스탈 팰리스 FC,0,1,A,1.55,4.2,5.75
2023/09/30,뉴캐슬 유나이티드 FC,번리 FC,2,0,H,1.3,5.75,9.0
2023/09/30,웨스트햄 유나이티드 FC,셰필드 유나이티드 FC,2,0,H,1.45,4.5,7.0
2023/09/30,울버햄튼 원더러스 FC,맨체스터 시티 FC,2,1,H,8.0,5.75,1.33
2023/09/30,토트넘 홋스퍼 FC,리버풀 FC,2,1,H,2.9,4.0,2.15
2023/10/01,노팅엄 포레스트 FC,브렌트포드 FC,1,1,D,2.75,3.1,2.7
2023/10/02,풀럼 FC,첼시 FC,0,2,A,3.6,3.5,2.05
2023/10/03,루턴 타운 FC,번리 FC,1,2,A,2.9,3.0,2.63
2023/10/07,루턴 타운 FC,토트넘 홋스퍼 FC,0,1,A,6.0,4.75,1.45
2023/10/07,번리 FC,첼시 FC,1,4,A,4.5,3.8,1.73
2023/10/07,에버튼 FC,AFC 본머스,3,0,H,1.91,3.6,3.8
2023/10/07,풀럼 FC,셰필드 유나이티드 FC,3,1,H,1.62,3.8,6.0
2023/10/07,맨체스터 유나이티드 FC,브렌트포드 FC,2,1,H,1.67,4.2,4.75
2023/10/07,크리스탈 팰리스 FC,노팅엄 포레스트 FC,0,0,D,2.2,3.1,3.6
2023/10/08,브라이튼 & 호브 알비언 FC,리버풀 FC,2,2,D,3.0,3.8,2.2
2023/10/08,웨스트햄 유나이티드 FC,뉴캐슬 유나이티드 FC,2,2,D,3.2,3.75,2.1
2023/10/08,울버햄튼 원더러스 FC,애스턴 빌라 FC,1,1,D,3.5,3.4,2.1
2023/10/08,아스날 FC,맨체스터 시티 FC,1,0,H,2.9,3.3,2.4
2023/10/21,리버풀 FC,에버튼 FC,2,0,H,1.33,5.75,7.5
2023/10/21,AFC 본머스,울버햄튼 원더러스 FC,1,2,A,2.38,3.4,3.0
2023/10/21,브렌트포드 FC,번리 FC,3,0,H,1.83,3.75,4.2
2023/10/21,맨체스터 시티 FC,브라이튼 & 호브 알비언 FC,2,1,H,1.4,5.25,6.5
