날짜,홈 팀,원정 팀,홈 팀 득점,원정 팀 득점,경기 결과,홈 승 배당률,무승부 배당률,원정 승 배당률
2020/09/12,풀럼 FC,아스날 FC,0,3,A,6.0,4.33,1.53
2020/09/12,크리스탈 팰리스 FC,사우샘프턴 FC,1,0,H,3.1,3.25,2.37
2020/09/12,리버풀 FC,리즈 유나이티드 FC,4,3,H,1.28,6.0,9.5
2020/09/12,웨스트햄 유나이티드 FC,뉴캐슬 유나이티드 FC,0,2,A,2.15,3.4,3.4
2020/09/13,웨스트브로미치 앨비언 FC,레스터 시티 AFC,0,3,A,3.8,3.6,1.95
2020/09/13,토트넘 홋스퍼 FC,에버튼 FC,0,1,A,1.83,3.6,4.33
2020/09/14,브라이튼 & 호브 알비언 FC,첼시 FC,1,3,A,5.0,4.33,1.61
2020/09/14,셰필드 유나이티드 FC,울버햄튼 원더러스 FC,0,2,A,3.25,3.1,2.37
2020/09/19,에버튼 FC,웨스트브로미치 앨비언 FC,5,2,H,1.5,4.2,6.5
2020/09/19,리즈 유나이티드 FC,풀럼 FC,4,3,H,1.61,3.9,5.75
2020/09/19,맨체스터 유나이티드 FC,크리스탈 팰리스 FC,1,3,A,1.3,5.5,9.5
2020/09/19,아스날 FC,웨스트햄 유나이티드 FC,2,1,H,1.53,4.5,5.5
2020/09/20,사우샘프턴 FC,토트넘 홋스퍼 FC,2,5,A,3.0,3.3,2.37
2020/09/20,뉴캐슬 유나이티드 FC,브라이튼 & 호브 알비언 FC,0,3,A,2.6,3.1,2.87
2020/09/20,첼시 FC,리버풀 FC,0,2,A,3.1,3.6,2.2
2020/09/20,레스터 시티 AFC,번리 FC,4,2,H,1.61,4.0,5.5
2020/09/21,애스턴 빌라 FC,셰필드 유나이티드 FC,1,0,H,2.7,3.1,2.75
2020/09/21,울버햄튼 원더러스 FC,맨체스터 시티 FC,1,3,A,6.5,4.33,1.5
2020/09/26,브라이튼 & 호브 알비언 FC,맨체스터 유나이티드 FC,2,3,A,4.75,3.75,1.72
2020/09/26,크리스탈 팰리스 FC,에버튼 FC,1,2,A,3.75,3.25,2.1
