날짜,홈 팀,원정 팀,홈 팀 득점,원정 팀 득점,경기 결과,홈 승 배당률,무승부 배당률,원정 승 배당률
2024/10/05,맨체스터 시티 FC,풀럼 FC,3,2,H,1.25,7.0,9.5
2024/10/05,웨스트 햄 유나이티드 FC,입스위치 타운 FC,4,1,H,1.8,3.8,4.33
2024/10/05,에버튼 FC,뉴캐슬 유나이티드 FC,0,0,D,3.2,3.6,2.2
2024/10/06,아스톤 빌라 FC,맨체스터 유나이티드 FC,0,0,D,2.2,3.75,3.0
2024/10/06,첼시 FC,노팅엄 포레스트 FC,1,1,D,1.48,4.5,6.5
2024/10/06,브라이튼 앤 호브 알비온 FC,토트넘 홋스퍼 FC,3,2,H,2.9,4.0,2.2
2024/10/19,토트넘 홋스퍼 FC,웨스트 햄 유나이티드 FC,4,1,H,1.5,5.0,5.25
2024/10/19,풀럼 FC,아스톤 빌라 FC,1,3,A,2.45,3.5,2.8
2024/10/19,입스위치 타운 FC,에버튼 FC,0,2,A,2.38,3.3,3.0
2024/10/19,맨체스터 유나이티드 FC,브렌트포드 FC,2,1,H,1.7,4.2,4.5
2024/10/19,뉴캐슬 유나이티드 FC,브라이튼 앤 호브 알비온 FC,0,1,A,1.95,3.7,3.6
2024/10/19,사우샘프턴 FC,레스터 시티 FC,2,3,A,2.3,3.5,3.0
2024/10/19,본머스 FC,아스널 FC,2,0,H,5.0,3.9,1.65
2024/10/20,울버햄튼 원더러스 FC,맨체스터 시티 FC,1,2,A,8.0,6.0,1.33
2024/10/20,리버풀 FC,첼시 FC,2,1,H,1.62,4.1,5.0
2024/10/21,노팅엄 포레스트 FC,크리스탈 팰리스 FC,1,0,H,2.3,3.5,3.0
2024/10/25,레스터 시티 FC,노팅엄 포레스트 FC,1,3,A,3.0,3.3,2.4
2024/10/26,아스톤 빌라 FC,본머스 FC,1,1,D,1.85,3.9,3.8
2024/10/26,브렌트포드 FC,입스위치 타운 FC,4,3,H,1.65,4.33,4.75
2024/10/26,브라이튼 앤 호브 알비온 FC,울버햄튼 원더러스 FC,2,2,D,1.62,4.5,4.5
2024/10/26,맨체스터 시티 FC,사우샘프턴 FC,1,0,H,1.11,10.0,17.0
2024/10/26,에버튼 FC,풀럼 FC,1,1,D,2.75,3.25,2.63
2024/10/27,첼시 FC,뉴캐슬 유나이티드 FC,2,1,H,1.73,4.33,4.2
2024/10/27,크리스탈 팰리스 FC,토트넘 홋스퍼 FC,1,0,H,3.9,4.0,1.83
2024/10/27,웨스트 햄 유나이티드 FC,맨체스터 유나이티드 FC,2,1,H,2.88,3.75,2.3
2024/10/27,아스널 FC,리버풀 FC,2,2,D,2.5,3.25,2.9
2024/11/02,뉴캐슬 유나이티드 FC,아스널 FC,1,0,H,3.75,3.75,1.95
2024/11/02,본머스 FC,맨체스터 시티 FC,2,1,H,5.5,4.2,1.57
2024/11/02,입스위치 타운 FC,레스터 시티 FC,1,1,D,2.25,3.5,3.1
2024/11/02,리버풀 FC,브라이튼 앤 호브 알비온 FC,2,1,H,1.4,5.0,7.5
2024/11/02,노팅엄 포레스트 FC,웨스트 햄 유나이티드 FC,3,0,H,2.15,3.5,3.4
2024/11/02,사우샘프턴 FC,에버튼 FC,1,0,H,2.63,3.4,2.63
2024/11/02,울버햄튼 원더러스 FC,크리스탈 팰리스 FC,2,2,D,2.5,3.4,2.88
2024/11/03,토트넘 홋스퍼 FC,아스톤 빌라 FC,4,1,H,1.91,4.0,3.6
2024/11/03,맨체스터 유나이티드 FC,첼시 FC,1,1,D,2.6,3.5,2.6
2024/11/04,풀럼 FC,브렌트포드 FC,2,1,H,2.0,3.7,3.5
2024/11/09,브렌트포드 FC,본머스 FC,3,2,H,2.5,3.5,2.7
2024/11/09,크리스탈 팰리스 FC,풀럼 FC,0,2,A,2.7,3.5,2.55
2024/11/09,웨스트 햄 유나이티드 FC,에버튼 FC,0,0,D,2.15,3.4,3.4
2024/11/09,울버햄튼 원더러스 FC,사우샘프턴 FC,2,0,H,1.91,3.75,3.75
2024/11/09,브라이튼 앤 호브 알비온 FC,맨체스터 시티 FC,2,1,H,4.1,4.2,1.73
2024/11/09,리버풀 FC,아스톤 빌라 FC,2,0,H,1.42,5.25,6.5
2024/11/10,맨체스터 유나이티드 FC,레스터 시티 FC,3,0,H,1.38,5.5,6.5
2024/11/10,노팅엄 포레스트 FC,뉴캐슬 유나이티드 FC,1,3,A,2.7,3.3,2.7
2024/11/10,토트넘 홋스퍼 FC,입스위치 타운 FC,1,2,A,1.25,6.5,9.0
2024/11/10,첼시 FC,아스널 FC,1,1,D,2.7,3.4,2.55
2024/11/23,레스터 시티 FC,첼시 FC,1,2,A,6.5,4.75,1.44
2024/11/23,아스널 FC,노팅엄 포레스트 FC,3,0,H,1.38,4.75,9.0
2024/11/23,아스톤 빌라 FC,크리스탈 팰리스 FC,2,2,D,1.62,4.0,5.5
2024/11/23,본머스 FC,브라이튼 앤 호브 알비온 FC,1,2,A,2.4,3.6,2.8
2024/11/23,에버튼 FC,브렌트포드 FC,0,0,D,2.45,3.4,2.88
2024/11/23,풀럼 FC,울버햄튼 원더러스 FC,1,4,A,1.62,4.0,5.25
2024/11/23,맨체스터 시티 FC,토트넘 홋스퍼 FC,0,4,A,1.48,4.75,6.0
2024/11/24,사우샘프턴 FC,리버풀 FC,2,3,A,11.0,5.75,1.27
2024/11/24,입스위치 타운 FC,맨체스터 유나이티드 FC,1,1,D,5.25,4.0,1.62
2024/11/25,뉴캐슬 유나이티드 FC,웨스트 햄 유나이티드 FC,0,2,A,1.5,4.5,6.0
2024/11/29,브라이튼 앤 호브 알비온 FC,사우샘프턴 FC,1,1,D,1.38,5.0,7.5
2024/11/30,브렌트포드 FC,레스터 시티 FC,4,1,H,1.65,4.2,4.75
2024/11/30,크리스탈 팰리스 FC,뉴캐슬 유나이티드 FC,1,1,D,2.9,3.6,2.3
2024/11/30,노팅엄 포레스트 FC,입스위치 타운 FC,1,0,H,1.7,3.8,4.75
2024/11/30,울버햄튼 원더러스 FC,본머스 FC,2,4,A,2.8,3.6,2.4
2024/11/30,웨스트 햄 유나이티드 FC,아스널 FC,2,5,A,7.0,4.5,1.45
2024/12/01,첼시 FC,아스톤 빌라 FC,3,0,H,1.7,4.1,4.5
2024/12/01,맨체스터 유나이티드 FC,에버튼 FC,4,0,H,1.53,4.2,6.0
2024/12/01,토트넘 홋스퍼 FC,풀럼 FC,1,1,D,1.7,4.5,4.1
2024/12/01,리버풀 FC,맨체스터 시티 FC,2,0,H,2.1,3.6,3.3
2024/12/03,입스위치 타운 FC,크리스탈 팰리스 FC,0,1,A,3.0,3.4,2.35
2024/12/03,레스터 시티 FC,웨스트 햄 유나이티드 FC,3,1,H,2.9,3.4,2.38
2024/12/04,에버튼 FC,울버햄튼 원더러스 FC,4,0,H,2.1,3.4,3.5
2024/12/04,맨체스터 시티 FC,노팅엄 포레스트 FC,3,0,H,1.36,4.75,9.0
